"Gene","Expression"
"AGBL4",227.8057
"AGBL5",425.6884
"AGER",47.7945
"AGFG1",1709.4361
"AGFG2",809.3802
"AGGF1",1086.7672
"AGK",1004.5784
"AGL",592.7415
"AGMAT",75.9352
"AGPAT1",3128.5717
"AGPAT2",163.0374
"AGPAT3",4548.9671
"AGPAT4",1569.1792
"AGPAT5",1463.3166
"AGPAT6",1493.244
"AGPAT9",73.7018
"AGPHD1",27.2473
"AGPS",754.8855
"AGR2",0
"AGR3",0
"AGRN",2179.3412
"AGRP",0
"AGTPBP1",1340.9269
"AGTR1",2.6801
"AGTR2",0.4467
"AGTRAP",192.5181
"AGT",9586.5997
"AGXT2L1",5900.1675
"AGXT2L2",209.6348
"AGXT2",0
"AGXT",0
"AHCTF1",823.2272
"AHCYL1",9856.8398
"AHCYL2",2458.5148
"AHCY",1391.8481
"AHDC1",1548.1854
"AHI1",749.9721
"AHNAK2",1660.7482
"AHNAK",8634.2825
"AHRR",36.6276
"AHR",223.7856
"AHSA1",2517.9229
"AHSA2",420.3238
"AHSG",4.4668
"AHSP",2.2334
"AICDA",0.4467
"AIDA",501.6505
"AIF1L",2363.3724
"AIF1",150.5304
"AIFM1",537.3534
"AIFM2",174.2044
"AIFM3",1183.0396
"AIG1",780.3462
"AIM1L",0
"AIM1",24.1206
"AIM2",8.4869
"AIMP1",589.1234
"AIMP2",269.8247
"AIPL1",0
"AIP",979.5645
"AIRE",4.4668
"AJAP1",239.866
"AK1",1478.5036
"AK2",503.8526
"AK3L1",252.373
"AK3",1713.4562
"AK5",7497.4874
"AK7",41.541
"AKAP10",580.6812
"AKAP11",5862.6466
"AKAP12",4534.6734
"AKAP13",1379.7878
"AKAP14",1.7867
"AKAP1",1474.0369
"AKAP2",612.9447
"AKAP3",57.6214
"AKAP4",0
"AKAP5",812.0603
"AKAP6",5341.3735
"AKAP7",338.1351
"AKAP8L",1023.7856
"AKAP8",590.9548
"AKAP9",1417.7554
"AKD1",200.1117
"AKIRIN1",1687.1022
"AKIRIN2",956.7839
"AKNAD1",2.2334
"AKNA",414.0704
"AKR1A1",846.4545
"AKR1B10",0
"AKR1B15",0
"AKR1B1",2250.3629
"AKR1C1",214.852
"AKR1C2",96.4824
"AKR1C3",323.3948
"AKR1C4",0
"AKR1CL1",0
"AKR1D1",0
"AKR1E2",8.4869
"AKR7A2",611.0553
"AKR7A3",26.8007
"AKR7L",17.8671
"AKT1S1",688.7772
"AKT1",2247.6829
"AKT2",1419.5422
