"Gene","Expression"
"ANKRD37",67.7906
"ANKRD39",141.9256
"ANKRD40",3667.0502
"ANKRD42",133.8703
"ANKRD43",238.5884
"ANKRD44",100.1151
"ANKRD45",12.2746
"ANKRD46",1435.5082
"ANKRD49",192.5585
"ANKRD50",728.4235
"ANKRD52",1122.7465
"ANKRD53",8.8224
"ANKRD54",476.7932
"ANKRD55",86.6897
"ANKRD56",1.1507
"ANKRD57",379.3633
"ANKRD58",13.809
"ANKRD5",8.0552
"ANKRD6",985.4239
"ANKRD7",4.9866
"ANKRD9",42.9613
"ANKS1A",820.8669
"ANKS1B",1565.7844
"ANKS3",492.9037
"ANKS4B",0
"ANKS6",869.9655
"ANKZF1",907.9402
"ANLN",4252.0138
"ANO10",458.3813
"ANO1",18.7956
"ANO2",11.5075
"ANO3",22.6314
"ANO4",306.099
"ANO5",331.799
"ANO6",521.2888
"ANO7",16.8776
"ANO8",2169.5435
"ANO9",0
"ANP32A",2723.4369
"ANP32B",2550.8247
"ANP32C",0.3836
"ANP32D",0.3836
"ANP32E",1502.8769
"ANPEP",30.6866
"ANTXR1",3168.0092
"ANTXR2",199.463
"ANTXRL",0.7672
"ANUBL1",63.2911
"ANXA10",0
"ANXA11",621.7875
"ANXA13",5.3702
"ANXA1",108.5539
"ANXA2P1",4.603
"ANXA2P2",60.6061
"ANXA2P3",0
"ANXA2",296.1258
"ANXA3",35.2896
"ANXA4",499.041
"ANXA5",3636.3636
"ANXA6",2119.2942
"ANXA7",1863.4446
"ANXA8L1",0
"ANXA8L2",0
"ANXA8",0.3836
"ANXA9",68.2777
"AOAH",117.3763
"AOC2",14.1926
"AOC3",26.4672
"AOX1",3.0687
"AOX2P",0
"AP1AR",403.529
"AP1B1",2826.2371
"AP1G1",1922.1327
"AP1G2",333.3448
"AP1M1",1348.2931
"AP1M2",0
"AP1S1",884.5416
"AP1S2",719.6011
"AP1S3",17.6448
"AP2A1",1685.1093
"AP2A2",1787.8788
"AP2B1",9978.5194
"AP2M1",5220.9436
"AP2S1",474.4918
"AP3B1",1085.1554
"AP3B2",891.0625
"AP3D1",3209.4361
"AP3M1",1289.2213
"AP3M2",667.0502
"AP3S1",535.865
"AP3S2",2099.9194
"AP4B1",329.6011
"AP4E1",310.702
"AP4M1",352.3552
"AP4S1",120.445
"APAF1",650.1726
"APBA1",723.8205
"APBA2",3145.3778
"APBA3",313.7706
"APBB1IP",344.8408
"APBB1",5718.4503
"APBB2",3411.9678
"APBB3",630.2263
"APC2",10261.1507
"APCDD1L",0.3836
"APCDD1",3783.2758
"APCS",0
"APC",4033.7553
"APEH",1374.3767
"APEX1",3271.1929
"APEX2",303.7975
"APH1A",3253.9317
"APH1B",1098.9643
"API5",2303.7975
"APIP",372.5355
"APITD1",60.6636
"APLF",21.8642
"APLNR",711.1623
"APLN",859.2252
"APLP1",14602.6084
"APLP2",8114.6912
"APOA1BP",1096.6628
"APOA1",0.7672
"APOA2",0
"APOA4",0
"APOA5",1.5343
"APOB48R",69.0449
